title,Month,year,Budget($M),length,rating,votes,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short,label
Jaws,Jun,1975,12.0,130,8.2,46978,,0,0,0,0,0,0,0,1
The Matrix,Mar,1999,65.0,136,8.5,143853,R,1,0,0,0,0,0,0,1
Mission: Impossible,May,1996,80.0,110,6.6,33496,PG-13,1,0,0,0,0,0,0,1
Gladiator,May,2000,103.0,155,8.0,92495,R,1,0,0,1,0,0,0,1
The Last Samurai,Dec,2003,140.0,154,7.9,31668,R,1,0,0,1,0,0,0,0
Beauty and the Beast,Nov,1991,20.0,90,7.8,25672,,0,1,0,0,0,1,0,1
Ocean's Eleven,Dec,2001,85.0,116,7.5,44662,PG-13,0,0,1,0,0,0,0,1
Pearl Harbor,May,2001,151.5,184,5.4,33409,R,1,0,0,1,0,1,0,1
Tarzan,Jun,1999,145.0,88,7.1,10672,,0,1,0,0,0,0,0,1
Mrs. Doubtfire,Nov,1993,25.0,125,6.4,19744,,0,0,1,1,0,0,0,1
The Mummy Returns,May,2001,98.0,130,6.1,23551,PG-13,1,0,0,0,0,0,0,1
Terminator 3: Rise of the Machines,Jul,2003,170.0,109,6.9,32111,R,1,0,0,0,0,0,0,1
Pretty Woman,Mar,1990,14.0,125,6.6,23316,,0,0,1,0,0,1,0,1
Die Another Day,Nov,2002,142.0,133,6.4,22136,PG-13,1,0,0,0,0,0,0,1
The Matrix Revolutions,Nov,2003,150.0,125,6.3,40058,R,1,0,0,0,0,0,0,0
Cast Away,Dec,2000,85.0,143,7.3,34580,PG-13,0,0,0,1,0,0,0,1
Dances with Wolves,Nov,1990,19.0,236,7.8,28561,,0,0,0,1,0,0,0,1
The Mummy,May,1999,80.0,124,6.5,36216,PG-13,1,0,1,0,0,0,0,1
Rain Man,Dec,1988,25.0,133,7.9,42562,,0,0,1,1,0,0,0,1
Batman,Jun,1989,35.0,126,7.4,35927,,1,0,0,0,0,0,0,1
The Bodyguard,Nov,1992,25.0,130,5.3,11415,,0,0,0,1,0,1,0,0
Signs,Aug,2002,70.702619,108,7.1,40285,PG-13,0,0,0,1,0,0,0,1
X2,May,2003,125.0,133,7.9,38191,PG-13,1,0,0,0,0,0,0,1
The Exorcist,Dec,1973,12.0,132,7.9,34162,,0,0,0,1,0,0,0,1
Gone with the Wind,Dec,1939,3.9,233,8.1,28836,,0,0,0,1,0,1,0,1
Grease,Jun,1978,6.0,110,6.8,22214,,0,0,1,0,0,1,0,1
Ice Age,Mar,2002,65.0,81,7.3,22302,PG,0,1,1,0,0,0,0,1
Back to the Future,Jul,1985,19.0,111,8.1,68647,,1,0,1,0,0,0,0,1
Godzilla,May,1998,125.0,133,4.4,22695,,1,0,0,0,0,0,0,0
My Big Fat Greek Wedding,Apr,2002,5.0,95,6.9,21675,PG,0,0,1,0,0,1,0,1
What Women Want,Dec,2000,65.0,127,6.4,20138,PG-13,0,0,1,0,0,1,0,1
Shark Tale,Oct,2004,75.0,90,5.9,7819,PG,1,1,1,0,0,0,0,1
There's Something About Mary,Jul,1998,22.0,134,7.2,46343,R,0,0,1,0,0,1,0,1
Raiders of the Lost Ark,Jun,1981,20.0,115,8.7,93511,,1,0,0,0,0,0,0,1
Hitch,Feb,2005,55.0,118,6.8,7554,,0,0,1,0,0,1,0,1
Hitch,Feb,2005,55.0,118,6.8,7554,,0,0,1,0,0,1,0,1
Die Hard: With a Vengeance,May,1995,90.0,131,7.0,25258,R,1,0,0,0,0,0,0,0
Jurassic Park III,Jul,2001,93.0,92,5.6,20690,PG-13,1,0,0,0,0,0,0,1
True Lies,Jul,1994,100.0,141,7.0,31011,,1,0,1,0,0,1,0,0
Toy Story,Nov,1995,30.0,81,7.9,46019,,0,1,1,0,0,0,0,1
Notting Hill,May,1999,42.0,124,7.0,27285,PG-13,0,0,1,1,0,1,0,0
A Bug's Life,Nov,1998,45.0,96,7.4,23184,,0,1,1,0,0,0,0,1
Ocean's Twelve,Dec,2004,110.0,125,6.0,14797,PG-13,0,0,1,0,0,0,0,0
Planet of the Apes,Jul,2001,100.0,119,5.6,28601,PG-13,1,0,0,0,0,0,0,1
Home Alone 2: Lost in New York,Nov,1992,20.0,120,5.0,12899,,0,0,1,0,0,0,0,1
Minority Report,Jun,2002,102.0,145,7.8,51199,PG-13,1,0,0,1,0,0,0,0
The Flintstones,May,1994,45.0,91,4.5,8704,,0,0,1,0,0,0,0,0
Top Gun,May,1986,15.0,110,6.5,32410,,1,0,0,1,0,1,0,1
American Beauty,Sep,1999,15.0,121,8.5,109991,R,0,0,0,1,0,0,0,0
Dinosaur,May,2000,127.5,82,6.3,5839,PG,0,1,0,0,0,0,0,0
The Fugitive,Aug,1993,44.0,130,7.7,48292,,1,0,0,1,0,0,0,1
The Mask,Jul,1994,18.0,97,6.4,21533,,1,0,1,0,0,0,0,0
Hannibal,Feb,2001,87.0,133,6.2,28876,R,0,0,0,0,0,0,0,1
Deep Impact,May,1998,80.0,120,5.9,22684,PG-13,0,0,0,1,0,0,0,0
"I, Robot",Jul,2004,105.0,115,7.0,22330,PG-13,1,0,0,0,0,0,0,0
Rush Hour 2,Aug,2001,90.0,86,6.5,16581,PG-13,1,0,1,0,0,0,0,1
Pocahontas,Jun,1995,55.0,81,5.7,6498,,0,1,0,0,0,1,0,0
Pocahontas,Jun,1995,55.0,81,5.7,6498,,0,1,0,0,0,1,0,0
How the Grinch Stole Christmas,Nov,2000,123.0,104,5.7,12680,PG,0,0,1,1,0,0,0,1
Close Encounters of the Third Kind,Nov,1977,20.0,137,7.7,26304,,0,0,0,1,0,0,0,1
Tomorrow Never Dies,Dec,1997,110.0,119,6.4,19397,PG-13,1,0,0,0,0,0,0,0
Batman Forever,Jun,1995,100.0,122,5.4,24025,PG-13,1,0,0,0,0,1,0,1
The Rock,Jun,1996,75.0,136,7.0,46184,R,1,0,0,1,0,0,0,0
Apollo 13,Jun,1995,65.0,140,7.5,41098,PG,0,0,0,1,0,0,0,1
Indiana Jones and the Temple of Doom,May,1984,28.0,118,7.2,34880,,1,0,0,0,0,0,0,1
Back to the Future Part II,Nov,1989,40.0,108,7.0,28547,,0,0,1,0,0,0,0,0
National Treasure,Nov,2004,100.0,131,6.6,12361,PG,1,0,0,0,0,0,0,1
Meet the Parents,Oct,2000,55.0,108,7.0,30804,PG-13,0,0,1,0,0,0,0,1
Meet the Parents,Oct,2000,55.0,108,7.0,30804,PG-13,0,0,1,0,0,0,0,1
The Perfect Storm,Jun,2000,120.0,130,6.2,24946,PG-13,1,0,0,1,0,0,0,1
Crocodile Dundee,Sep,1986,8.8,98,6.4,12034,,0,0,1,0,0,0,0,1
Se7en,Sep,1995,30.0,127,8.4,88371,R,0,0,0,1,0,0,0,0
The Hunchback of Notre Dame,Jun,1996,100.0,91,6.5,6093,,0,1,1,1,0,0,0,0
Schindler's List,Dec,1993,25.0,195,8.8,97667,R,0,0,0,1,0,0,0,0
Fatal Attraction,Sep,1987,14.0,123,6.7,8541,,0,0,0,1,0,0,0,1
Lethal Weapon 3,May,1992,35.0,121,6.3,13780,,1,0,1,0,0,0,0,0
A Beautiful Mind,Dec,2001,78.0,135,7.8,43291,PG-13,0,0,0,1,0,0,0,1
Beverly Hills Cop,Dec,1984,15.0,105,7.1,16360,,1,0,1,0,0,0,0,1
Air Force One,Jul,1997,85.0,124,6.3,26156,R,1,0,0,1,0,0,0,1
Austin Powers: The Spy Who Shagged Me,Jun,1999,35.0,95,6.5,37019,PG-13,1,0,1,0,0,0,0,1
The Polar Express,Nov,2004,170.0,99,6.8,4045,,0,1,0,0,0,0,0,1
Runaway Bride,Jul,1999,70.0,116,5.4,12624,PG,0,0,1,0,0,1,0,1
Ransom,Nov,1996,70.0,139,6.6,17678,R,1,0,0,1,0,0,0,0
Chicago,Dec,2002,30.0,113,7.5,34933,PG-13,0,0,1,1,0,0,0,1
Mulan,Jun,1998,90.0,88,7.2,11192,,0,1,1,0,0,0,0,0
Liar Liar,Mar,1997,45.0,86,6.5,22969,PG-13,0,0,1,0,0,0,0,1
Hook,Dec,1991,70.0,144,5.8,19368,,0,0,0,0,0,0,0,0
Rambo: First Blood Part II,May,1985,44.0,94,5.1,9479,,1,0,0,1,0,0,0,1
Superman,Dec,1978,55.0,151,7.1,17327,PG,1,0,0,0,0,0,0,0
Superman,Dec,1978,55.0,151,7.1,17327,PG,1,0,0,0,0,0,0,0
Van Helsing,May,2004,170.0,132,5.4,19787,PG-13,1,0,0,0,0,0,0,0
My Best Friend's Wedding,Jun,1997,46.0,105,6.4,16648,PG-13,0,0,1,0,0,1,0,0
Stuart Little,Dec,1999,105.0,81,6.0,8009,PG,0,0,1,0,0,0,0,0
X-Men,Jul,2000,75.0,104,7.3,45332,PG-13,1,0,0,0,0,0,0,1
Austin Powers in Goldmember,Jul,2002,63.0,94,6.2,22870,PG-13,1,0,1,0,0,0,0,1
Doctor Dolittle,Jun,1998,71.5,85,5.4,8287,PG-13,0,0,1,0,0,0,0,0
The Green Mile,Dec,1999,60.0,188,8.1,60142,R,0,0,0,1,0,0,0,0
What Lies Beneath,Jul,2000,90.0,130,6.6,20584,PG-13,0,0,0,1,0,0,0,1
The Bourne Supremacy,Jul,2004,85.0,108,7.3,19878,PG-13,1,0,0,1,0,0,0,1
American Pie 2,Aug,2001,30.0,105,6.3,22752,R,0,0,1,0,0,0,0,0
The Sound of Music,Mar,1965,8.2,174,7.8,20641,,0,0,0,1,0,0,0,1
Lethal Weapon 4,Jul,1998,140.0,127,6.3,17758,R,1,0,1,0,0,0,0,0
Speed,Jun,1994,30.0,116,7.1,32979,R,1,0,0,0,0,0,0,0
Casper,May,1995,55.0,100,5.6,8798,PG,0,0,1,0,0,0,0,0
Casper,May,1995,55.0,100,5.6,8798,PG,0,0,1,0,0,0,0,0
Bridget Jones's Diary,Apr,2001,25.0,97,7.0,24791,R,0,0,1,0,0,1,0,0
Shakespeare in Love,Dec,1998,26.0,122,7.5,41999,R,0,0,1,1,0,1,0,0
Scary Movie,Jul,2000,19.0,88,5.5,23293,R,0,0,1,0,0,0,0,1
Beverly Hills Cop II,May,1987,20.0,100,5.8,10446,,1,0,1,0,0,0,0,1
Scooby-Doo,Jun,2002,84.0,86,4.8,9618,PG,0,0,1,0,0,0,0,1
The Silence of the Lambs,Feb,1991,20.0,118,8.5,92060,,0,0,0,0,0,0,0,0
The Nutty Professor,Jun,1996,55.0,95,5.8,12273,PG-13,0,0,1,0,0,1,0,0
The Nutty Professor,Jun,1996,55.0,95,5.8,12273,PG-13,0,0,1,0,0,1,0,0
Lara Croft: Tomb Raider,Jun,2001,94.0,100,5.2,21861,PG-13,1,0,0,0,0,0,0,0
Bad Boys II,Jul,2003,130.0,145,6.1,13087,R,1,0,1,0,0,0,0,0
The Firm,Jun,1993,42.0,154,6.6,14708,R,0,0,0,1,0,0,0,1
The Godfather,Mar,1972,7.0,175,9.1,122755,,0,0,0,1,0,0,0,0
Bambi,Aug,1942,0.858,70,7.5,9197,,0,1,0,1,0,0,0,0
xXx,Aug,2002,70.0,132,5.5,18514,PG-13,1,0,0,0,0,0,0,0
Batman Returns,Jun,1992,80.0,126,6.5,23010,,1,0,0,0,0,1,0,1
Something's Gotta Give,Dec,2003,80.0,128,6.8,11275,PG-13,0,0,1,1,0,1,0,0
Waterworld,Jul,1995,175.0,176,5.4,19325,PG-13,1,0,0,1,0,0,0,0
The Truman Show,Jun,1998,60.0,103,7.7,62434,PG,0,0,1,1,0,0,0,0
The Fifth Element,May,1997,95.0,126,7.1,55398,PG-13,1,0,0,1,0,0,0,0
Cinderella,Feb,1950,2.9,74,7.3,5596,,0,1,0,0,0,0,0,0
Jumanji,Dec,1995,65.0,104,6.0,14874,PG,1,0,1,0,0,0,0,0
Total Recall,Jun,1990,65.0,113,7.2,26486,,1,0,0,0,0,0,0,0
Robots,Mar,2005,80.0,91,6.4,4089,PG,0,1,1,0,0,0,0,0
Charlie's Angels,Nov,2000,90.0,94,5.8,25705,PG-13,1,0,1,0,0,0,0,0
Out of Africa,Dec,1985,31.0,160,6.9,6797,,0,0,0,1,0,1,0,0
The Full Monty,Aug,1997,3.5,91,7.2,22115,R,0,0,1,0,0,0,0,0
The Village,Jul,2004,71.682975,108,6.6,25729,PG-13,0,0,0,1,0,0,0,0
Cliffhanger,May,1993,65.0,112,6.0,12434,,1,0,0,0,0,0,0,0
You've Got Mail,Dec,1998,65.0,119,6.2,20053,PG,0,0,1,0,0,1,0,0
Hercules,Jun,1997,70.0,92,6.6,5279,,0,1,1,0,0,0,0,0
Enemy of the State,Nov,1998,85.0,131,7.1,23263,R,1,0,0,1,0,0,0,0
Space Jam,Nov,1996,80.0,87,5.2,7995,PG,0,1,1,0,0,0,0,0
The Blair Witch Project,Jul,1999,0.6,86,6.1,39814,R,0,0,0,0,0,0,0,0
The Ring,Oct,2002,48.0,115,7.4,30687,PG-13,0,0,0,1,0,0,0,0
Unbreakable,Nov,2000,73.24310600000001,106,7.1,35842,PG-13,0,0,0,1,0,0,0,0
Love Actually,Nov,2003,45.0,129,7.7,21918,R,0,0,1,1,0,1,0,0
Dumb & Dumber,Dec,1994,16.0,101,6.6,27713,PG-13,0,0,1,0,0,0,0,0
Babe,Aug,1995,30.0,89,7.4,16988,,0,0,1,1,0,0,0,0
Lilo & Stitch,Jun,2002,80.0,86,7.3,10944,PG,0,1,1,1,0,0,0,0
8 Mile,Nov,2002,41.0,110,6.8,17900,R,0,0,0,1,0,0,0,0
Rush Hour,Sep,1998,35.0,93,6.7,18336,PG-13,1,0,1,0,0,0,0,0
Hulk,Jun,2003,137.0,138,6.1,20710,PG-13,1,0,0,1,0,0,0,0
Back to the Future Part III,May,1990,40.0,118,6.7,24682,,0,0,1,0,0,0,0,0
Four Weddings and a Funeral,Mar,1994,4.5,117,7.2,17820,R,0,0,1,1,0,1,0,0
Face/Off,Jun,1997,80.0,133,7.1,37506,R,1,0,0,1,0,0,0,0
Die Hard 2,Jul,1990,70.0,124,6.7,22987,,1,0,0,0,0,0,0,0
Dead Poets Society,Jun,1989,16.4,128,7.7,43294,,0,0,0,1,0,0,0,0
Batman & Robin,Jun,1997,125.0,125,3.6,28457,PG-13,1,0,0,0,0,0,0,0
A Few Good Men,Dec,1992,33.0,138,7.5,25237,,0,0,0,1,0,0,0,0
2 Fast 2 Furious,Jun,2003,76.0,107,5.1,9556,PG-13,1,0,0,0,0,0,0,0
Artificial Intelligence: AI,Jun,2001,90.0,146,6.8,36623,PG-13,0,0,0,1,0,0,0,0
American Pie,Jul,1999,12.0,95,6.8,41126,R,0,0,1,0,0,0,0,0
Eraser,Jun,1996,100.0,115,5.8,14641,R,1,0,0,1,0,0,0,0
The Mask of Zorro,Jul,1998,65.0,136,6.8,18220,PG-13,1,0,1,0,0,1,0,0
Million Dollar Baby,Dec,2004,30.0,132,8.3,20195,PG-13,0,0,0,1,0,0,0,0
The English Patient,Nov,1996,35.0,160,7.1,25210,R,0,0,0,1,0,1,0,0
Big Daddy,Jun,1999,30.0,93,5.9,18258,PG-13,0,0,1,0,0,0,0,1
Chicken Run,Jun,2000,42.0,84,7.4,25099,,0,1,1,0,0,0,0,0
Charlie's Angels: Full Throttle,Jun,2003,120.0,107,5.0,13990,PG-13,1,0,1,0,0,0,0,0
Good Will Hunting,Dec,1997,10.0,126,7.8,60858,R,0,0,0,1,0,0,0,0
Rocky,Nov,1976,1.0,119,7.8,22893,,0,0,0,1,0,1,0,0
Con Air,Jun,1997,80.0,115,6.3,26642,,1,0,0,0,0,0,0,0
Constantine,Feb,2005,75.0,121,6.4,11633,,1,0,0,1,0,0,0,0
Wild Wild West,Jun,1999,175.0,107,4.0,19078,PG-13,1,0,1,0,0,0,0,0
Fahrenheit 9/11,Jun,2004,6.0,122,7.9,34666,R,0,0,0,0,1,0,0,0
Elf,Nov,2003,32.0,95,7.0,10165,PG,0,0,1,0,0,0,0,1
Kingdom of Heaven,May,2005,110.0,145,7.0,6498,R,1,0,0,1,0,0,0,0
The Terminal,Jun,2004,75.0,128,7.1,15809,PG-13,0,0,1,1,0,1,0,0
The Prince of Egypt,Dec,1998,60.0,99,6.9,9212,PG,0,1,0,1,0,0,0,0
Collateral,Aug,2004,60.0,120,7.7,24499,R,0,0,0,1,0,0,0,0
Twins,Dec,1988,15.0,105,5.9,13213,,0,0,1,0,0,0,0,0
The Patriot,Jun,2000,110.0,164,6.8,29665,R,1,0,0,1,0,0,0,0
The Bourne Identity,Jun,2002,60.0,119,7.3,29871,PG-13,1,0,0,1,0,0,0,0
Vertical Limit,Dec,2000,75.0,124,5.6,10273,PG-13,1,0,0,0,0,0,0,0
Miss Congeniality,Dec,2000,45.0,109,6.2,16235,PG-13,0,0,1,0,0,0,0,0
Lemony Snicket's A Series of Unfortunate Events,Dec,2004,100.0,108,6.7,8402,PG,0,0,1,0,0,0,0,0
Pulp Fiction,Oct,1994,8.0,168,8.8,132745,R,0,0,0,1,0,0,0,0
Master and Commander: The Far Side of the World,Nov,2003,135.0,138,7.5,21328,PG-13,1,0,0,1,0,0,0,0
Ace Ventura: When Nature Calls,Nov,1995,30.0,90,4.9,15161,PG-13,0,0,1,0,0,0,0,0
Disclosure,Dec,1994,55.0,128,5.9,7062,,0,0,0,1,0,0,0,0
Disclosure,Dec,1994,55.0,128,5.9,7062,,0,0,0,1,0,0,0,0
End of Days,Nov,1999,100.0,121,5.3,18237,R,1,0,0,0,0,0,0,0
Entrapment,Apr,1999,66.0,113,6.1,18543,PG-13,0,0,1,0,0,1,0,0
Moonraker,Jun,1979,31.0,126,5.9,9318,,1,0,0,0,0,1,0,0
Braveheart,May,1995,72.0,177,8.3,92437,R,1,0,0,1,0,0,0,0
Jaws 2,Jun,1978,20.0,116,5.3,6221,,0,0,0,0,0,0,0,0
The Aviator,Dec,2004,110.0,170,7.5,16217,PG-13,0,0,0,1,0,0,0,0
Traffic,Dec,2000,48.0,147,7.8,41268,R,0,0,0,1,0,0,0,0
The Others,Aug,2001,17.0,104,7.8,36914,PG-13,0,0,0,1,0,0,0,0
Clear and Present Danger,Aug,1994,62.0,141,6.8,13025,,1,0,0,1,0,0,0,0
S.W.A.T.,Aug,2003,70.0,117,5.9,12732,PG-13,1,0,0,0,0,0,0,0
Sleepy Hollow,Nov,1999,70.0,105,7.4,38857,R,0,0,0,0,0,0,0,0
The Fast and the Furious,Jun,2001,38.0,106,5.7,21428,PG-13,1,0,0,0,0,0,0,0
Red Dragon,Oct,2002,78.0,124,7.3,21089,R,0,0,0,0,0,0,0,0
JFK,Dec,1991,40.0,206,7.8,26456,R,0,0,0,1,0,0,0,0
King Arthur,Jul,2004,90.0,140,6.0,14272,R,1,0,0,1,0,0,0,0
Alien,May,1979,9.0,116,8.3,63400,R,0,0,0,0,0,0,0,0
Vanilla Sky,Dec,2001,70.0,136,6.9,31250,R,0,0,0,1,0,1,0,0
Teenage Mutant Ninja Turtles,Mar,1990,13.5,93,5.5,6946,,1,0,0,0,0,0,0,0
Kindergarten Cop,Dec,1990,26.0,111,5.8,13476,,1,0,1,0,0,0,0,0
Flashdance,Apr,1983,7.0,95,5.5,4568,,0,0,0,1,0,1,0,0
Philadelphia,Dec,1993,26.0,125,7.5,17861,,0,0,0,1,0,0,0,0
Cats & Dogs,Jul,2001,60.0,87,5.4,6487,PG,0,0,1,0,0,0,0,0
The Hunt for Red October,Mar,1990,30.0,134,7.6,26666,,1,0,0,0,0,0,0,0
Two Weeks Notice,Dec,2002,60.0,101,5.8,15010,PG-13,0,0,1,0,0,1,0,0
City of Angels,Apr,1998,55.0,114,6.2,15333,PG-13,0,0,0,1,0,1,0,0
City of Angels,Apr,1998,55.0,114,6.2,15333,PG-13,0,0,0,1,0,1,0,0
The Pacifier,Mar,2005,56.0,95,4.9,2179,PG,1,0,1,0,0,0,0,0
The Pacifier,Mar,2005,56.0,95,4.9,2179,PG,1,0,1,0,0,0,0,0
Spy Kids,Mar,2001,35.0,88,6.2,7400,,1,0,1,0,0,0,0,0
Stargate,Oct,1994,55.0,130,6.4,17520,,1,0,0,0,0,0,0,0
Stargate,Oct,1994,55.0,130,6.4,17520,,1,0,0,0,0,0,0,0
50 First Dates,Feb,2004,75.0,99,6.8,13497,PG-13,0,0,1,0,0,1,0,0
Panic Room,Mar,2002,48.0,113,7.0,24302,R,0,0,0,1,0,0,0,0
Anger Management,Apr,2003,56.0,106,6.0,14280,PG-13,0,0,1,0,0,0,0,0
Anger Management,Apr,2003,56.0,106,6.0,14280,PG-13,0,0,1,0,0,0,0,0
For Your Eyes Only,Jun,1981,28.0,127,6.7,8061,,1,0,0,0,0,0,0,0
The Sum of All Fears,May,2002,68.0,123,6.6,15835,PG-13,1,0,0,1,0,0,0,0
The Addams Family,Nov,1991,30.0,99,6.4,11549,,0,0,1,0,0,0,0,0
The Living Daylights,Jul,1987,40.0,130,6.4,7495,,1,0,0,0,0,0,0,0
Hollow Man,Aug,2000,90.0,112,5.3,16168,R,0,0,0,0,0,0,0,0
Cheaper by the Dozen,Dec,2003,40.0,98,5.8,5977,PG,0,0,1,1,0,0,0,0
The Waterboy,Nov,1998,23.0,90,5.5,15539,PG-13,0,0,1,0,0,0,0,1
The Santa Clause,Nov,1994,22.0,97,5.9,5561,,0,0,1,0,0,0,0,0
Rambo III,May,1988,58.0,101,4.1,7631,,1,0,0,0,0,0,0,0
Rambo III,May,1988,58.0,101,4.1,7631,,1,0,0,0,0,0,0,0
The Pelican Brief,Dec,1993,45.0,141,6.3,10119,,0,0,0,1,0,0,0,0
Octopussy,Jun,1983,27.5,131,6.4,8331,,1,0,0,0,0,0,0,0
The Grudge,Oct,2004,10.0,92,5.9,11441,PG-13,0,0,0,0,0,0,0,0
The Horse Whisperer,May,1998,60.0,170,6.4,6744,PG-13,0,0,0,1,0,1,0,0
Atlantis: The Lost Empire,Jun,2001,90.0,95,6.4,6323,PG,1,1,0,0,0,0,0,0
The Spy Who Loved Me,Jul,1977,14.0,123,6.9,8130,,1,0,0,0,0,0,0,0
Snow White and the Seven Dwarfs,Dec,1937,1.4880000000000002,83,7.8,14341,,0,1,0,1,0,0,0,1
Road to Perdition,Jul,2002,80.0,117,7.7,30526,R,0,0,0,1,0,0,0,0
Aliens,Jul,1986,17.0,154,8.3,63961,R,1,0,0,0,0,0,0,0
Gangs of New York,Dec,2002,97.0,166,7.3,34808,R,0,0,0,1,0,0,0,0
Wayne's World,Feb,1992,20.0,95,6.8,16677,,0,0,1,0,0,0,0,0
Daredevil,Feb,2003,80.0,133,5.7,20642,R,1,0,0,0,0,0,0,0
Sweet Home Alabama,Sep,2002,38.0,108,5.8,9943,PG-13,0,0,1,1,0,1,0,0
Cape Fear,Nov,1991,35.0,128,7.1,15585,R,0,0,0,1,0,0,0,0
The First Wives Club,Sep,1996,30.0,103,5.6,6434,,0,0,1,0,0,0,0,0
The Haunting,Jul,1999,80.0,112,4.6,14425,PG-13,0,0,0,0,0,0,0,0
The League of Extraordinary Gentlemen,Jul,2003,78.0,110,5.4,15647,PG-13,1,0,0,0,0,0,0,0
Dante's Peak,Feb,1997,115.0,104,5.6,9203,PG-13,1,0,0,1,0,0,0,0
Patriot Games,Jun,1992,45.0,117,6.8,12751,,1,0,0,1,0,0,0,0
Flubber,Nov,1997,80.0,90,4.6,5102,PG,0,0,1,0,0,0,0,0
Double Jeopardy,Sep,1999,40.0,105,5.9,13587,R,0,0,0,1,0,0,0,0
Tootsie,Dec,1982,15.0,119,7.5,13802,,0,0,1,0,0,1,0,1
Analyze This,Mar,1999,30.0,109,6.6,24521,R,0,0,1,0,0,0,0,0
The Italian Job,May,2003,60.0,111,6.9,18496,PG-13,1,0,0,0,0,0,0,0
